Circuit = TraningTrack1	length = 405.0331
AddReward	17:44:12.3352	0
AddReward	17:44:12.3532	0.3920076
AddReward	17:44:12.8549	0.7836232
AddReward	17:44:12.8549	1.174847
AddReward	17:44:12.8549	1.378007
AddReward	17:44:12.8569	1.593397
AddReward	17:44:12.8569	0.4986005
AddReward	17:44:12.8858	0.7274186
AddReward	17:44:12.9028	0.9820226
AddReward	17:44:12.9197	1.113849
AddReward	17:44:12.9377	1.35319
AddReward	17:44:12.9706	1.490186
AddReward	17:44:12.9866	1.71314
AddReward	17:44:13.0045	1.874567
AddReward	17:44:13.0214	2.064095
AddReward	17:44:13.0384	2.270444
AddReward	17:44:13.0550	2.442881
AddReward	17:44:13.0890	2.638571
AddReward	17:44:13.1050	2.816778
AddReward	17:44:13.1219	3.007092
AddReward	17:44:13.1399	3.184072
AddReward	17:44:13.1558	3.362985
AddReward	17:44:13.1898	3.53019
AddReward	17:44:13.2057	3.705648
AddReward	17:44:13.2227	3.869432
AddReward	17:44:13.2406	4.040446
AddReward	17:44:13.2570	4.206256
AddReward	17:44:13.2911	4.378773
AddReward	17:44:13.3080	4.540803
AddReward	17:44:13.3240	4.708263
AddReward	17:44:13.3420	4.865904
AddReward	17:44:13.3579	5.016555
AddReward	17:44:13.3749	5.160639
AddReward	17:44:13.4079	5.308832
AddReward	17:44:13.4247	5.448439
AddReward	17:44:13.4427	5.592181
AddReward	17:44:13.4597	5.71701
AddReward	17:44:13.4766	5.847222
AddReward	17:44:13.5100	5.969128
AddReward	17:44:13.5269	6.09495
AddReward	17:44:13.5439	6.213282
AddReward	17:44:13.5598	6.311207
AddReward	17:44:13.5768	6.40244
AddReward	17:44:13.6108	6.497545
AddReward	17:44:13.6269	6.586116
AddReward	17:44:13.6457	6.678392
AddReward	17:44:13.6617	6.794241
AddReward	17:44:13.6776	6.913024
AddReward	17:44:13.6946	7.024672
AddReward	17:44:13.7286	7.138702
AddReward	17:44:13.7465	7.245739
AddReward	17:44:13.7624	7.332484
AddReward	17:44:13.7794	7.417511
AddReward	17:44:13.7953	7.503904
AddReward	17:44:13.8294	7.584648
AddReward	17:44:13.8472	7.669065
AddReward	17:44:13.8631	7.741266
AddReward	17:44:13.8801	7.818611
AddReward	17:44:13.8971	7.890401
AddReward	17:44:13.9310	7.964906
AddReward	17:44:13.9479	8.033979
AddReward	17:44:13.9650	8.123502
AddReward	17:44:13.9810	8.207004
AddReward	17:44:13.9980	8.292397
AddReward	17:44:14.0151	8.371911
AddReward	17:44:14.0499	8.453279
AddReward	17:44:14.0658	8.529025
AddReward	17:44:14.0818	8.60748
AddReward	17:44:14.0987	8.680293
AddReward	17:44:14.1167	8.754875
AddReward	17:44:14.1506	8.823961
AddReward	17:44:14.1667	8.894625
AddReward	17:44:14.1835	8.964415
AddReward	17:44:14.2005	9.034277
AddReward	17:44:14.2175	9.099152
AddReward	17:44:14.2516	9.16664
AddReward	17:44:14.2676	9.21494
AddReward	17:44:14.2846	9.278159
AddReward	17:44:14.3016	9.329776
AddReward	17:44:14.3184	9.381981
AddReward	17:44:14.3364	9.431621
AddReward	17:44:14.3683	9.481567
AddReward	17:44:14.3852	9.533366
AddReward	17:44:14.4023	9.588192
AddReward	17:44:14.4192	9.638489
AddReward	17:44:14.4371	9.690548
AddReward	17:44:14.4700	9.706631
AddReward	17:44:14.4870	9.725622
AddReward	17:44:14.5039	9.741183
AddReward	17:44:14.5209	9.759649
AddReward	17:44:14.5388	9.774712
AddReward	17:44:14.5707	9.821522
AddReward	17:44:14.5877	9.864969
AddReward	17:44:14.6048	9.910204
AddReward	17:44:14.6216	9.950984
AddReward	17:44:14.6386	9.991122
AddReward	17:44:14.6555	9.987754
