TraningTrack1	 length = 405.0331
AddReward	2020/9/18 17:05:41	9.988098
AddReward	2020/9/18 17:05:41	9.991118
AddReward	2020/9/18 17:05:41	9.988098
AddReward	2020/9/18 17:05:41	9.990541
AddReward	2020/9/18 17:05:41	9.988095
AddReward	2020/9/18 17:05:41	9.991117
AddReward	2020/9/18 17:05:41	9.988083
AddReward	2020/9/18 17:05:41	9.991105
AddReward	2020/9/18 17:05:41	9.988089
AddReward	2020/9/18 17:05:41	9.991109
AddReward	2020/9/18 17:05:41	9.988075
AddReward	2020/9/18 17:05:41	9.991103
AddReward	2020/9/18 17:05:41	9.988073
AddReward	2020/9/18 17:05:41	9.990009
AddReward	2020/9/18 17:05:41	9.987975
AddReward	2020/9/18 17:05:42	9.990932
AddReward	2020/9/18 17:05:42	9.987949
AddReward	2020/9/18 17:05:42	9.991002
AddReward	2020/9/18 17:05:42	9.97633
AddReward	2020/9/18 17:05:42	9.990259
AddReward	2020/9/18 17:05:42	9.982836
AddReward	2020/9/18 17:05:42	9.985531
AddReward	2020/9/18 17:05:42	9.984523
AddReward	2020/9/18 17:05:42	9.986425
AddReward	2020/9/18 17:05:42	9.987442
AddReward	2020/9/18 17:05:42	9.991008
AddReward	2020/9/18 17:05:42	9.988077
AddReward	2020/9/18 17:05:42	9.991117
AddReward	2020/9/18 17:05:42	9.980106
AddReward	2020/9/18 17:05:42	9.989816
AddReward	2020/9/18 17:05:42	9.982638
AddReward	2020/9/18 17:05:42	9.985632
AddReward	2020/9/18 17:05:42	9.984708
AddReward	2020/9/18 17:05:42	9.96104
AddReward	2020/9/18 17:05:42	9.972122
AddReward	2020/9/18 17:05:42	9.974951
AddReward	2020/9/18 17:05:42	9.970898
AddReward	2020/9/18 17:05:42	9.97224
AddReward	2020/9/18 17:05:42	9.976193
AddReward	2020/9/18 17:05:42	9.986602
AddReward	2020/9/18 17:05:42	9.986992
AddReward	2020/9/18 17:05:42	9.990806
AddReward	2020/9/18 17:05:42	9.987976
AddReward	2020/9/18 17:05:42	9.990587
AddReward	2020/9/18 17:05:42	9.988008
AddReward	2020/9/18 17:05:42	9.991024
AddReward	2020/9/18 17:05:42	9.98798
AddReward	2020/9/18 17:05:42	9.991014
AddReward	2020/9/18 17:05:42	9.984044
AddReward	2020/9/18 17:05:42	9.991122
AddReward	2020/9/18 17:05:42	9.98784
AddReward	2020/9/18 17:05:42	9.991104
AddReward	2020/9/18 17:05:42	9.988091
AddReward	2020/9/18 17:05:42	9.989164
AddReward	2020/9/18 17:05:42	9.987929
AddReward	2020/9/18 17:05:42	9.990671
AddReward	2020/9/18 17:05:42	9.987878
AddReward	2020/9/18 17:05:42	9.99098
AddReward	2020/9/18 17:05:42	9.976389
AddReward	2020/9/18 17:05:42	9.990239
AddReward	2020/9/18 17:05:42	9.982784
AddReward	2020/9/18 17:05:42	9.985475
AddReward	2020/9/18 17:05:42	9.984475
AddReward	2020/9/18 17:05:42	9.985628
AddReward	2020/9/18 17:05:42	9.987558
AddReward	2020/9/18 17:05:42	9.991027
AddReward	2020/9/18 17:05:43	9.988078
AddReward	2020/9/18 17:05:43	9.991117
AddReward	2020/9/18 17:05:43	9.987138
AddReward	2020/9/18 17:05:43	9.991118
AddReward	2020/9/18 17:05:43	9.988088
AddReward	2020/9/18 17:05:43	9.991106
AddReward	2020/9/18 17:05:43	9.988079
AddReward	2020/9/18 17:05:43	9.989656
AddReward	2020/9/18 17:05:43	9.988095
AddReward	2020/9/18 17:05:43	9.991119
AddReward	2020/9/18 17:05:43	9.988098
AddReward	2020/9/18 17:05:43	9.991119
AddReward	2020/9/18 17:05:43	9.987328
AddReward	2020/9/18 17:05:43	9.99112
AddReward	2020/9/18 17:05:43	9.988084
AddReward	2020/9/18 17:05:43	9.991101
AddReward	2020/9/18 17:05:43	9.988072
AddReward	2020/9/18 17:05:43	9.990802
AddReward	2020/9/18 17:05:43	9.98809
AddReward	2020/9/18 17:05:43	9.991086
AddReward	2020/9/18 17:05:43	9.988034
AddReward	2020/9/18 17:05:43	9.991055
AddReward	2020/9/18 17:05:43	9.985059
AddReward	2020/9/18 17:05:43	9.991128
AddReward	2020/9/18 17:05:43	9.987994
AddReward	2020/9/18 17:05:43	9.991118
AddReward	2020/9/18 17:05:43	9.988093
AddReward	2020/9/18 17:05:43	9.990602
AddReward	2020/9/18 17:05:43	9.988071
AddReward	2020/9/18 17:05:43	9.991121
AddReward	2020/9/18 17:05:43	9.988096
AddReward	2020/9/18 17:05:43	9.99112
AddReward	2020/9/18 17:05:43	9.988044
AddReward	2020/9/18 17:05:43	9.991107
AddReward	2020/9/18 17:05:43	9.988091
AddReward	2020/9/18 17:05:43	9.991117
AddReward	2020/9/18 17:05:43	9.988092
AddReward	2020/9/18 17:05:43	9.989363
AddReward	2020/9/18 17:05:43	9.98805
AddReward	2020/9/18 17:05:43	9.990983
AddReward	2020/9/18 17:05:43	9.988031
AddReward	2020/9/18 17:05:43	9.991078
AddReward	2020/9/18 17:05:43	9.985932
AddReward	2020/9/18 17:05:43	9.991123
AddReward	2020/9/18 17:05:43	9.988057
AddReward	2020/9/18 17:05:43	9.991116
AddReward	2020/9/18 17:05:43	9.988092
AddReward	2020/9/18 17:05:43	9.990241
AddReward	2020/9/18 17:05:43	9.98809
AddReward	2020/9/18 17:05:43	9.991116
AddReward	2020/9/18 17:05:44	9.988086
AddReward	2020/9/18 17:05:44	9.991111
AddReward	2020/9/18 17:05:44	9.987874
AddReward	2020/9/18 17:05:44	9.991119
AddReward	2020/9/18 17:05:44	9.988084
AddReward	2020/9/18 17:05:44	9.9911
AddReward	2020/9/18 17:05:44	9.988059
AddReward	2020/9/18 17:05:44	9.990917
AddReward	2020/9/18 17:05:44	9.988086
AddReward	2020/9/18 17:05:44	9.991086
AddReward	2020/9/18 17:05:44	9.988024
AddReward	2020/9/18 17:05:44	9.991048
AddReward	2020/9/18 17:05:44	9.984191
AddReward	2020/9/18 17:05:44	9.991107
AddReward	2020/9/18 17:05:44	9.987777
AddReward	2020/9/18 17:05:44	9.991077
AddReward	2020/9/18 17:05:44	9.988087
AddReward	2020/9/18 17:05:44	9.990608
AddReward	2020/9/18 17:05:44	9.988079
AddReward	2020/9/18 17:05:44	9.991115
AddReward	2020/9/18 17:05:44	9.988078
AddReward	2020/9/18 17:05:44	9.991101
AddReward	2020/9/18 17:05:44	9.984823
AddReward	2020/9/18 17:05:44	9.991035
AddReward	2020/9/18 17:05:44	9.987615
AddReward	2020/9/18 17:05:44	9.990997
AddReward	2020/9/18 17:05:44	9.988045
AddReward	2020/9/18 17:05:44	9.991094
AddReward	2020/9/18 17:05:44	9.988077
AddReward	2020/9/18 17:05:44	9.991107
AddReward	2020/9/18 17:05:44	9.988085
AddReward	2020/9/18 17:05:44	9.99111
AddReward	2020/9/18 17:05:44	9.987325
AddReward	2020/9/18 17:05:44	9.991092
AddReward	2020/9/18 17:05:44	9.98809
AddReward	2020/9/18 17:05:44	9.991118
AddReward	2020/9/18 17:05:44	9.988094
AddReward	2020/9/18 17:05:44	9.990522
AddReward	2020/9/18 17:05:44	9.988091
AddReward	2020/9/18 17:05:44	9.991117
AddReward	2020/9/18 17:05:44	9.988082
AddReward	2020/9/18 17:05:44	9.991105
AddReward	2020/9/18 17:05:44	9.985168
AddReward	2020/9/18 17:05:44	9.990636
AddReward	2020/9/18 17:05:44	9.986584
AddReward	2020/9/18 17:05:44	9.990224
AddReward	2020/9/18 17:05:44	9.987669
AddReward	2020/9/18 17:05:44	9.982629
AddReward	2020/9/18 17:05:44	9.987928
AddReward	2020/9/18 17:05:44	9.989429
AddReward	2020/9/18 17:05:45	9.986682
AddReward	2020/9/18 17:05:45	9.990743
AddReward	2020/9/18 17:05:45	9.986545
AddReward	2020/9/18 17:05:45	9.991125
AddReward	2020/9/18 17:05:45	9.988075
AddReward	2020/9/18 17:05:45	9.991093
AddReward	2020/9/18 17:05:45	9.988057
AddReward	2020/9/18 17:05:45	9.990167
AddReward	2020/9/18 17:05:45	9.988013
AddReward	2020/9/18 17:05:45	9.991096
AddReward	2020/9/18 17:05:45	9.988073
AddReward	2020/9/18 17:05:45	9.991111
AddReward	2020/9/18 17:05:45	9.987613
AddReward	2020/9/18 17:05:45	9.990729
AddReward	2020/9/18 17:05:45	9.988074
AddReward	2020/9/18 17:05:45	9.991118
AddReward	2020/9/18 17:05:45	9.988087
AddReward	2020/9/18 17:05:45	9.990862
AddReward	2020/9/18 17:05:45	9.988062
AddReward	2020/9/18 17:05:45	9.991119
AddReward	2020/9/18 17:05:45	9.988091
AddReward	2020/9/18 17:05:45	9.991117
AddReward	2020/9/18 17:05:45	9.987755
AddReward	2020/9/18 17:05:45	9.991056
AddReward	2020/9/18 17:05:45	9.988076
AddReward	2020/9/18 17:05:45	9.991117
AddReward	2020/9/18 17:05:45	9.988089
AddReward	2020/9/18 17:05:45	9.98735
AddReward	2020/9/18 17:05:45	9.987697
AddReward	2020/9/18 17:05:45	9.989626
AddReward	2020/9/18 17:05:45	9.987149
AddReward	2020/9/18 17:05:45	9.990772
AddReward	2020/9/18 17:05:45	9.976131
AddReward	2020/9/18 17:05:45	9.990356
AddReward	2020/9/18 17:05:45	9.983136
AddReward	2020/9/18 17:05:45	9.985858
AddReward	2020/9/18 17:05:45	9.984788
AddReward	2020/9/18 17:05:45	9.980293
AddReward	2020/9/18 17:05:45	9.988084
AddReward	2020/9/18 17:05:45	9.990421
AddReward	2020/9/18 17:05:45	9.987591
AddReward	2020/9/18 17:05:45	9.990954
AddReward	2020/9/18 17:05:45	9.983185
AddReward	2020/9/18 17:05:45	9.990967
AddReward	2020/9/18 17:05:45	9.987085
AddReward	2020/9/18 17:05:45	9.990547
AddReward	2020/9/18 17:05:45	9.987939
AddReward	2020/9/18 17:05:45	9.991109
AddReward	2020/9/18 17:05:45	9.988071
AddReward	2020/9/18 17:05:46	9.991099
