Circuit = TraningTrack1	length = 405.0331
AddReward	17:48:31.430	0
AddReward	17:48:31.449	0.3920076
AddReward	17:48:31.952	0.7836232
AddReward	17:48:31.952	1.174847
AddReward	17:48:31.953	1.378007
AddReward	17:48:31.955	1.593397
AddReward	17:48:31.955	0.4986005
AddReward	17:48:31.982	0.7274186
AddReward	17:48:31.999	0.9820226
AddReward	17:48:32.016	1.113849
AddReward	17:48:32.034	1.35319
AddReward	17:48:32.066	1.490186
AddReward	17:48:32.083	1.71314
AddReward	17:48:32.100	1.874567
AddReward	17:48:32.118	2.064095
AddReward	17:48:32.135	2.270444
AddReward	17:48:32.168	2.442881
AddReward	17:48:32.185	2.638571
AddReward	17:48:32.202	2.816778
AddReward	17:48:32.218	3.007092
AddReward	17:48:32.237	3.184072
AddReward	17:48:32.253	3.362985
AddReward	17:48:32.286	3.53019
AddReward	17:48:32.303	3.705648
AddReward	17:48:32.320	3.869431
AddReward	17:48:32.338	4.040446
AddReward	17:48:32.354	4.206256
AddReward	17:48:32.387	4.378773
AddReward	17:48:32.404	4.540803
AddReward	17:48:32.420	4.708262
AddReward	17:48:32.438	4.865903
AddReward	17:48:32.454	5.016554
AddReward	17:48:32.471	5.160638
AddReward	17:48:32.505	5.308831
AddReward	17:48:32.522	5.448438
AddReward	17:48:32.540	5.59218
AddReward	17:48:32.556	5.717009
AddReward	17:48:32.572	5.847221
AddReward	17:48:32.606	5.969127
AddReward	17:48:32.623	6.094949
AddReward	17:48:32.641	6.213281
AddReward	17:48:32.657	6.311205
AddReward	17:48:32.674	6.402438
AddReward	17:48:32.707	6.497543
AddReward	17:48:32.724	6.586112
AddReward	17:48:32.742	6.678388
AddReward	17:48:32.757	6.794236
AddReward	17:48:32.774	6.913019
AddReward	17:48:32.791	7.024668
AddReward	17:48:32.825	7.138697
AddReward	17:48:32.843	7.245734
AddReward	17:48:32.858	7.332478
AddReward	17:48:32.876	7.417506
AddReward	17:48:32.893	7.503899
AddReward	17:48:32.927	7.584641
AddReward	17:48:32.943	7.669059
AddReward	17:48:32.959	7.74126
AddReward	17:48:32.977	7.818604
AddReward	17:48:32.994	7.890394
AddReward	17:48:33.027	7.964899
AddReward	17:48:33.045	8.033974
AddReward	17:48:33.061	8.123494
AddReward	17:48:33.077	8.206995
AddReward	17:48:33.095	8.292389
AddReward	17:48:33.111	8.371901
AddReward	17:48:33.146	8.453268
AddReward	17:48:33.162	8.529013
AddReward	17:48:33.179	8.607468
AddReward	17:48:33.195	8.68028
AddReward	17:48:33.212	8.754862
AddReward	17:48:33.247	8.823947
AddReward	17:48:33.263	8.894611
AddReward	17:48:33.279	8.964402
AddReward	17:48:33.297	9.034265
AddReward	17:48:33.314	9.09914
AddReward	17:48:33.349	9.16663
AddReward	17:48:33.364	9.21493
AddReward	17:48:33.381	9.278149
AddReward	17:48:33.399	9.329765
AddReward	17:48:33.415	9.381971
AddReward	17:48:33.433	9.431609
AddReward	17:48:33.466	9.481557
AddReward	17:48:33.482	9.533356
AddReward	17:48:33.499	9.588182
AddReward	17:48:33.517	9.638479
AddReward	17:48:33.534	9.690539
AddReward	17:48:33.566	9.706622
AddReward	17:48:33.583	9.725615
AddReward	17:48:33.600	9.741176
AddReward	17:48:33.617	9.759643
AddReward	17:48:33.634	9.774705
AddReward	17:48:33.651	9.821515
AddReward	17:48:33.685	9.864964
AddReward	17:48:33.701	9.910199
AddReward	17:48:33.718	9.950977
AddReward	17:48:33.736	9.991121
AddReward	17:48:33.752	9.987753
AddReward	17:48:33.785	9.991113
AddReward	17:48:33.803	9.988091
AddReward	17:48:33.820	9.991111
AddReward	17:48:33.837	9.988076
AddReward	17:48:33.853	9.991021
AddReward	17:48:33.887	9.988095
AddReward	17:48:33.904	9.99111
AddReward	17:48:33.921	9.988065
AddReward	17:48:33.938	9.991087
AddReward	17:48:33.955	9.988093
AddReward	17:48:33.988	9.991112
AddReward	17:48:34.004	9.988052
AddReward	17:48:34.021	9.991073
AddReward	17:48:34.039	9.988031
AddReward	17:48:34.055	9.982755
AddReward	17:48:34.072	9.987524
AddReward	17:48:34.105	9.98788
AddReward	17:48:34.122	9.985047
AddReward	17:48:34.140	9.989657
AddReward	17:48:34.156	9.983491
AddReward	17:48:34.173	9.991119
AddReward	17:48:34.207	9.98787
AddReward	17:48:34.223	9.991054
AddReward	17:48:34.241	9.988072
AddReward	17:48:34.258	9.99111
AddReward	17:48:34.274	9.988099
AddReward	17:48:34.307	9.991117
AddReward	17:48:34.325	9.988085
AddReward	17:48:34.343	9.991111
AddReward	17:48:34.358	9.985053
AddReward	17:48:34.375	9.991033
AddReward	17:48:34.392	9.987644
AddReward	17:48:34.426	9.990994
AddReward	17:48:34.444	9.988047
AddReward	17:48:34.459	9.991121
AddReward	17:48:34.476	9.988085
AddReward	17:48:34.494	9.991104
AddReward	17:48:34.527	9.98808
