Circuit = TraningTrack1	length = 405.0331
AddReward	2020/9/18 17:42:38	9.988097
AddReward	2020/9/18 17:42:38	9.991119
AddReward	2020/9/18 17:42:38	9.988099
AddReward	2020/9/18 17:42:38	9.99054
AddReward	2020/9/18 17:42:38	9.988095
AddReward	2020/9/18 17:42:38	9.991117
AddReward	2020/9/18 17:42:38	9.988082
AddReward	2020/9/18 17:42:38	9.991106
AddReward	2020/9/18 17:42:38	9.988088
AddReward	2020/9/18 17:42:38	9.991109
AddReward	2020/9/18 17:42:38	9.988075
AddReward	2020/9/18 17:42:38	9.991103
AddReward	2020/9/18 17:42:38	9.988072
AddReward	2020/9/18 17:42:38	9.990008
AddReward	2020/9/18 17:42:38	9.987974
AddReward	2020/9/18 17:42:38	9.990932
AddReward	2020/9/18 17:42:38	9.987949
AddReward	2020/9/18 17:42:38	9.991001
AddReward	2020/9/18 17:42:38	9.976309
AddReward	2020/9/18 17:42:38	9.990257
AddReward	2020/9/18 17:42:38	9.982823
AddReward	2020/9/18 17:42:38	9.985516
AddReward	2020/9/18 17:42:38	9.984509
AddReward	2020/9/18 17:42:38	9.986422
AddReward	2020/9/18 17:42:38	9.987433
AddReward	2020/9/18 17:42:38	9.991005
AddReward	2020/9/18 17:42:38	9.988078
AddReward	2020/9/18 17:42:38	9.991118
AddReward	2020/9/18 17:42:39	9.980119
AddReward	2020/9/18 17:42:39	9.989817
AddReward	2020/9/18 17:42:39	9.982648
AddReward	2020/9/18 17:42:39	9.985643
AddReward	2020/9/18 17:42:39	9.984717
AddReward	2020/9/18 17:42:39	9.961099
AddReward	2020/9/18 17:42:39	9.972183
AddReward	2020/9/18 17:42:39	9.975017
AddReward	2020/9/18 17:42:39	9.970975
AddReward	2020/9/18 17:42:39	9.972332
AddReward	2020/9/18 17:42:39	9.976203
AddReward	2020/9/18 17:42:39	9.986606
AddReward	2020/9/18 17:42:39	9.986994
AddReward	2020/9/18 17:42:39	9.990807
AddReward	2020/9/18 17:42:39	9.987976
AddReward	2020/9/18 17:42:39	9.990588
AddReward	2020/9/18 17:42:39	9.988008
AddReward	2020/9/18 17:42:39	9.991024
AddReward	2020/9/18 17:42:39	9.987982
AddReward	2020/9/18 17:42:39	9.991014
AddReward	2020/9/18 17:42:39	9.98404
AddReward	2020/9/18 17:42:39	9.991122
AddReward	2020/9/18 17:42:39	9.98784
AddReward	2020/9/18 17:42:39	9.991103
AddReward	2020/9/18 17:42:39	9.988091
AddReward	2020/9/18 17:42:39	9.989165
AddReward	2020/9/18 17:42:39	9.98793
AddReward	2020/9/18 17:42:39	9.990672
AddReward	2020/9/18 17:42:39	9.987878
AddReward	2020/9/18 17:42:39	9.990981
AddReward	2020/9/18 17:42:39	9.976391
AddReward	2020/9/18 17:42:39	9.990237
AddReward	2020/9/18 17:42:39	9.98278
AddReward	2020/9/18 17:42:39	9.985468
AddReward	2020/9/18 17:42:39	9.984469
AddReward	2020/9/18 17:42:39	9.985595
AddReward	2020/9/18 17:42:39	9.987561
AddReward	2020/9/18 17:42:39	9.991028
AddReward	2020/9/18 17:42:39	9.988078
AddReward	2020/9/18 17:42:39	9.991117
AddReward	2020/9/18 17:42:39	9.987147
AddReward	2020/9/18 17:42:39	9.991119
AddReward	2020/9/18 17:42:39	9.988086
AddReward	2020/9/18 17:42:39	9.991106
AddReward	2020/9/18 17:42:39	9.988079
AddReward	2020/9/18 17:42:39	9.989651
AddReward	2020/9/18 17:42:39	9.988095
AddReward	2020/9/18 17:42:39	9.991119
AddReward	2020/9/18 17:42:39	9.988098
AddReward	2020/9/18 17:42:39	9.991119
AddReward	2020/9/18 17:42:39	9.987338
AddReward	2020/9/18 17:42:40	9.99112
AddReward	2020/9/18 17:42:40	9.988084
AddReward	2020/9/18 17:42:40	9.9911
AddReward	2020/9/18 17:42:40	9.988073
AddReward	2020/9/18 17:42:40	9.990808
AddReward	2020/9/18 17:42:40	9.98809
AddReward	2020/9/18 17:42:40	9.991086
AddReward	2020/9/18 17:42:40	9.988035
AddReward	2020/9/18 17:42:40	9.991055
AddReward	2020/9/18 17:42:40	9.985034
AddReward	2020/9/18 17:42:40	9.991127
AddReward	2020/9/18 17:42:40	9.987989
AddReward	2020/9/18 17:42:40	9.991117
AddReward	2020/9/18 17:42:40	9.988093
AddReward	2020/9/18 17:42:40	9.990593
AddReward	2020/9/18 17:42:40	9.988074
AddReward	2020/9/18 17:42:40	9.991121
AddReward	2020/9/18 17:42:40	9.988097
AddReward	2020/9/18 17:42:40	9.99112
AddReward	2020/9/18 17:42:40	9.988042
AddReward	2020/9/18 17:42:40	9.991107
AddReward	2020/9/18 17:42:40	9.98809
AddReward	2020/9/18 17:42:40	9.991117
AddReward	2020/9/18 17:42:40	9.988091
AddReward	2020/9/18 17:42:40	9.989347
AddReward	2020/9/18 17:42:40	9.98805
AddReward	2020/9/18 17:42:40	9.990981
AddReward	2020/9/18 17:42:40	9.988029
AddReward	2020/9/18 17:42:40	9.991078
AddReward	2020/9/18 17:42:40	9.985953
AddReward	2020/9/18 17:42:40	9.991123
AddReward	2020/9/18 17:42:40	9.98806
AddReward	2020/9/18 17:42:40	9.991115
AddReward	2020/9/18 17:42:40	9.988093
AddReward	2020/9/18 17:42:40	9.990236
AddReward	2020/9/18 17:42:40	9.98809
AddReward	2020/9/18 17:42:40	9.991116
AddReward	2020/9/18 17:42:40	9.988085
AddReward	2020/9/18 17:42:40	9.991109
AddReward	2020/9/18 17:42:40	9.987868
AddReward	2020/9/18 17:42:40	9.991119
AddReward	2020/9/18 17:42:40	9.988082
AddReward	2020/9/18 17:42:40	9.9911
AddReward	2020/9/18 17:42:40	9.98806
AddReward	2020/9/18 17:42:40	9.990915
AddReward	2020/9/18 17:42:40	9.988086
AddReward	2020/9/18 17:42:40	9.991085
AddReward	2020/9/18 17:42:40	9.988023
AddReward	2020/9/18 17:42:40	9.991048
AddReward	2020/9/18 17:42:40	9.984179
AddReward	2020/9/18 17:42:41	9.991107
AddReward	2020/9/18 17:42:41	9.987775
AddReward	2020/9/18 17:42:41	9.991077
AddReward	2020/9/18 17:42:41	9.988086
AddReward	2020/9/18 17:42:41	9.990609
AddReward	2020/9/18 17:42:41	9.98808
AddReward	2020/9/18 17:42:41	9.991117
AddReward	2020/9/18 17:42:41	9.988078
AddReward	2020/9/18 17:42:41	9.991103
AddReward	2020/9/18 17:42:41	9.984816
AddReward	2020/9/18 17:42:41	9.991035
AddReward	2020/9/18 17:42:41	9.987614
AddReward	2020/9/18 17:42:41	9.990997
AddReward	2020/9/18 17:42:41	9.988046
AddReward	2020/9/18 17:42:41	9.991093
AddReward	2020/9/18 17:42:41	9.988077
AddReward	2020/9/18 17:42:41	9.991107
AddReward	2020/9/18 17:42:41	9.988086
AddReward	2020/9/18 17:42:41	9.991109
AddReward	2020/9/18 17:42:41	9.987335
AddReward	2020/9/18 17:42:41	9.99109
AddReward	2020/9/18 17:42:41	9.98809
AddReward	2020/9/18 17:42:41	9.991117
AddReward	2020/9/18 17:42:41	9.988093
AddReward	2020/9/18 17:42:41	9.990528
AddReward	2020/9/18 17:42:41	9.988091
AddReward	2020/9/18 17:42:41	9.991117
AddReward	2020/9/18 17:42:41	9.988081
AddReward	2020/9/18 17:42:41	9.991105
AddReward	2020/9/18 17:42:41	9.98514
AddReward	2020/9/18 17:42:41	9.99063
AddReward	2020/9/18 17:42:41	9.986563
AddReward	2020/9/18 17:42:41	9.990203
AddReward	2020/9/18 17:42:41	9.987663
AddReward	2020/9/18 17:42:41	9.98257
AddReward	2020/9/18 17:42:41	9.987926
AddReward	2020/9/18 17:42:41	9.989403
AddReward	2020/9/18 17:42:41	9.986653
AddReward	2020/9/18 17:42:41	9.990725
AddReward	2020/9/18 17:42:41	9.98652
AddReward	2020/9/18 17:42:41	9.991126
AddReward	2020/9/18 17:42:41	9.988075
AddReward	2020/9/18 17:42:41	9.991092
AddReward	2020/9/18 17:42:41	9.988057
