Circuit = TraningTrack1	length = 405.033
AddReward	20:43:00.026	0
AddReward	20:43:00.360	0
AddReward	20:43:00.453	0
AddReward	20:43:00.552	0
AddReward	20:43:00.653	0
AddReward	20:43:00.755	0
AddReward	20:43:00.856	0
AddReward	20:43:00.940	0
AddReward	20:43:01.041	0
AddReward	20:43:01.141	0
AddReward	20:43:01.243	0
AddReward	20:43:01.344	0
AddReward	20:43:01.445	0
AddReward	20:43:01.547	0
AddReward	20:43:01.648	0
AddReward	20:43:01.749	0
AddReward	20:43:01.849	0
AddReward	20:43:01.950	0
AddReward	20:43:02.053	0
AddReward	20:43:02.154	0
AddReward	20:43:02.254	0
AddReward	20:43:02.339	0.004953366
AddReward	20:43:02.439	0.01358428
AddReward	20:43:02.541	0.0231137
AddReward	20:43:02.642	0.03248213
AddReward	20:43:02.742	0.0412561
AddReward	20:43:02.843	0.04956588
AddReward	20:43:02.946	0.057174
AddReward	20:43:03.046	0.06416163
AddReward	20:43:03.147	0.07049362
AddReward	20:43:03.248	0.07613028
AddReward	20:43:03.350	0.08116998
AddReward	20:43:03.451	0.08556112
AddReward	20:43:03.551	0.08944324
AddReward	20:43:03.653	0.09277622
AddReward	20:43:03.754	0.09567676
AddReward	20:43:03.855	0.09817289
AddReward	20:43:03.939	0.09990004
AddReward	20:43:04.041	0.09989975
AddReward	20:43:04.141	0.09988033
AddReward	20:43:04.241	0.09991707
AddReward	20:43:04.344	0.09988092
AddReward	20:43:04.445	0.09991437
AddReward	20:43:04.545	0.09988049
AddReward	20:43:04.647	0.09991829
AddReward	20:43:04.748	0.09988005
AddReward	20:43:04.849	0.09991817
AddReward	20:43:04.950	0.09987997
AddReward	20:43:05.050	0.09991696
AddReward	20:43:05.151	0.09988054
AddReward	20:43:05.253	0.09991162
AddReward	20:43:05.355	0.09988038
AddReward	20:43:05.456	0.09991248
AddReward	20:43:05.540	0.09988023
AddReward	20:43:05.641	0.09991711
AddReward	20:43:05.741	0.09987967
AddReward	20:43:05.842	0.1
AddReward	20:43:05.944	0.1
AddReward	20:43:06.045	0.1
AddReward	20:43:06.146	0.1
AddReward	20:43:06.247	0.1
AddReward	20:43:06.348	0.02069773
AddReward	20:43:06.450	0.02926182
AddReward	20:43:06.551	0.03834924
AddReward	20:43:06.652	0.04679558
AddReward	20:43:06.753	0.05468661
AddReward	20:43:06.853	0.06192328
AddReward	20:43:06.955	0.06848724
AddReward	20:43:07.039	0.0743809
AddReward	20:43:07.140	0.07962016
AddReward	20:43:07.241	0.0842406
AddReward	20:43:07.342	0.08828565
AddReward	20:43:07.444	0.0918012
AddReward	20:43:07.545	0.09485035
AddReward	20:43:07.646	0.09748311
AddReward	20:43:07.746	0.09974833
AddReward	20:43:07.848	0.09990491
AddReward	20:43:07.949	0.09990487
AddReward	20:43:08.050	0.09990482
AddReward	20:43:08.151	0.09990474
AddReward	20:43:08.253	0.09990428
AddReward	20:43:08.353	0.09990348
AddReward	20:43:08.454	0.09990312
AddReward	20:43:08.539	0.09990297
AddReward	20:43:08.639	0.09990305
AddReward	20:43:08.741	0.09990381
AddReward	20:43:08.842	0.09990427
AddReward	20:43:08.944	0.09990436
