PlayTime	637447942453198855
TimeScale	1
CircuitName	OvalTrack
CircuitId	f7f6758f18cd145722af32d2174f27c6
CircuitVersion	0	//circuit.Version未完成
CircuitLength	278.9362
PlayerName	欧阳双钻_KartClassic_0
CarName	欧阳双钻_KartClassic_0
AgentName	ArcadeKartAgent	//AgentName未完成
ModelName	AI_Racer1	//ModelName未完成
ModelMD5	ModelMD5未完成
BehaviorType	1	//0-Default 1-HeuristicOnly 2-InferenceOnly
TotalLapCount	1
MatchId	20201228231721_fad7c97b65cad21de050cef80b34ce9b
TotalCarCount	1
CircuitPosition	0.0,0.0,0.0

AgentActions	79787	0,0
CarStatus	3320417	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,0.0,0.0
CarStatus	3410206	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,0.0,0.0
CarStatus	3489986	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,-0.2,0.0
CarStatus	3569783	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,-0.2,0.0
CarStatus	3659545	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,0.0,0.0
CarStatus	3739333	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,0.0,0.0
CarStatus	3819112	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,0.0,0.0
AgentActions	3908868	0,0
CarStatus	3908868	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,0.0,0.0
CarStatus	3908868	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,-0.2,0.0
CarStatus	3978655	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,-0.2,0.0
CarStatus	4068441	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,0.0,0.0
CarStatus	4148236	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,0.0,0.0
CarStatus	4237987	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,-0.2,0.0
CarStatus	4307777	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,-0.2,0.0
CarStatus	4397557	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,-0.2,0.0
CarStatus	4477346	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,0.0,0.0
CarStatus	4557144	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,0.0,0.0
CarStatus	4646890	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,-0.2,0.0
CarStatus	4726690	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,-0.2,0.0
CarStatus	4806464	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,-0.2,0.0
AgentActions	4886252	0,0
CarStatus	4886252	8.0,0.9,-27.4	0.0,0.7,0.0,0.7	0.0000	0.0,-0.2,0.0
