Circuit = TraningTrack1	length = 405.0331
AddReward	17:49:23.683	0.3920076
AddReward	17:49:23.699	0.7836232
AddReward	17:49:23.716	1.174847
AddReward	17:49:23.734	-6.847637
AddReward	17:49:23.759	1.566771
AddReward	17:49:23.776	0.1563925
AddReward	17:49:23.793	0.3232614
AddReward	17:49:23.826	0.5275475
AddReward	17:49:23.845	0.4817778
AddReward	17:49:23.860	0.7308011
AddReward	17:49:23.878	0.7934549
AddReward	17:49:23.895	1.014116
AddReward	17:49:23.928	1.129486
AddReward	17:49:23.945	1.297852
AddReward	17:49:23.961	1.516105
AddReward	17:49:23.977	1.685116
AddReward	17:49:23.994	1.889305
AddReward	17:49:24.012	2.070458
AddReward	17:49:24.047	2.269164
AddReward	17:49:24.063	2.450651
AddReward	17:49:24.080	2.645399
AddReward	17:49:24.096	2.824859
AddReward	17:49:24.113	3.015462
AddReward	17:49:24.148	3.192142
AddReward	17:49:24.164	3.377845
AddReward	17:49:24.181	3.551494
AddReward	17:49:24.197	3.733198
AddReward	17:49:24.214	3.903215
AddReward	17:49:24.249	4.080193
AddReward	17:49:24.264	4.188405
AddReward	17:49:24.282	4.303984
AddReward	17:49:24.299	4.410335
AddReward	17:49:24.315	4.523556
AddReward	17:49:24.334	4.627971
AddReward	17:49:24.366	4.745624
AddReward	17:49:24.383	4.854737
AddReward	17:49:24.400	4.969739
AddReward	17:49:24.416	5.076502
AddReward	17:49:24.435	5.188784
AddReward	17:49:24.467	5.337735
AddReward	17:49:24.483	5.490643
AddReward	17:49:24.500	5.634748
AddReward	17:49:24.517	5.782356
AddReward	17:49:24.535	5.921463
AddReward	17:49:24.551	6.032334
AddReward	17:49:24.584	6.136741
AddReward	17:49:24.601	6.244999
AddReward	17:49:24.618	6.346234
AddReward	17:49:24.636	6.451127
AddReward	17:49:24.653	6.577251
AddReward	17:49:24.686	6.707695
AddReward	17:49:24.703	6.830366
AddReward	17:49:24.720	6.955356
AddReward	17:49:24.738	7.072937
AddReward	17:49:24.754	7.173627
AddReward	17:49:24.786	7.267843
AddReward	17:49:24.803	7.36472
AddReward	17:49:24.821	7.455279
AddReward	17:49:24.838	7.548395
AddReward	17:49:24.854	7.603623
AddReward	17:49:24.871	7.662501
AddReward	17:49:24.905	7.716355
AddReward	17:49:24.922	7.77361
AddReward	17:49:24.940	7.825904
AddReward	17:49:24.955	7.927682
AddReward	17:49:24.973	8.02292
AddReward	17:49:25.006	8.119785
AddReward	17:49:25.023	8.210278
AddReward	17:49:25.041	8.30235
AddReward	17:49:25.057	8.370482
AddReward	17:49:25.073	8.441065
AddReward	17:49:25.107	8.506366
AddReward	17:49:25.124	8.57395
AddReward	17:49:25.142	8.636362
AddReward	17:49:25.158	8.716379
AddReward	17:49:25.175	8.791334
AddReward	17:49:25.192	8.867867
AddReward	17:49:25.224	8.938773
AddReward	17:49:25.243	9.011223
AddReward	17:49:25.258	9.077874
AddReward	17:49:25.275	9.146346
AddReward	17:49:25.293	9.20953
AddReward	17:49:25.326	9.274293
AddReward	17:49:25.344	9.333859
AddReward	17:49:25.359	9.392029
AddReward	17:49:25.377	9.445293
AddReward	17:49:25.393	9.500327
AddReward	17:49:25.427	9.550572
AddReward	17:49:25.445	9.602611
AddReward	17:49:25.461	9.650029
AddReward	17:49:25.478	9.701653
AddReward	17:49:25.495	9.748174
AddReward	17:49:25.512	9.79678
AddReward	17:49:25.546	9.840895
